PERIOD;BRAND OWNER;BRAND;PACKAGE;WEIGHT;FAT;FAT ID;SKU;IF FLAVOURED;ADDITIVES;TASTE;VOLUME SALES;VALUE SALES;PRICE PER UNIT;NUMERIC SELLING DISTRIBIUTION (AVG);WEIGHTED SELLING DISTRIBIUTION (AVG);Average Sales Per Shop Selling
MAT APR'19;FRIESLAND CAMPINA;NEZHNY;GROUP;0.1000/KG;1,20%;2;NEZHNY 1.2% 100G H SOK BANAN&KLUBNIKA;FLAVOURED;JUICE;BANANA&STRAWBERRY;69,0155;262,9685406;3,810282;46,9421;75,897817;88,8393
MAT APR'19;SAVUSHKIN PRODUCT;OPTIMAL;GROUP;0.1500/KG;2%;2;OPTIMAL 2% FZN BIO 150G H KUR&ZLA&LYON;FLAVOURED;CEREALS&FRUITS&SEEDS;CEREALS & DRIED APRICOT & LINSEEDS;69,0072;291,7290308;4,227516;47,152645;72,289845;78,9118
MAT APR'19;FRIESLAND CAMPINA;NEZHNY;GROUP;0.1000/KG;1,20%;2;NEZHNY 1.2% 100G H SOK KLUBNIKA;FLAVOURED;JUICE;STRAWBERRY;68,4227;262,8728156;3,841895;51,74095;77,739258;80,1605
MAT APR'19;DANONE GROUP;PROSTOKVASHINO;CUP;0.3350/KG;2,20%;3;PROSTOKVASHINO 2.2% F 335G MALINA;FLAVOURED;FRUITS/BERRIES;RASPBERRY / MALINA;67,3892;312,031261;4,630286;72,80818;90,28518;59,1641
MAT APR'19;DANONE GROUP;RASTISHKA;TOPPER;0.1150/KG;3%;3;RASTISHKA 3% S 115G TO KLUB&ZL.DRAZHE;FLAVOURED;CEREALS&CHOCOLATE;STRAWBERRY;65,6895;582,0183296;8,860142;44,020875;76,02165;100,7504
MAT APR'19;FRIESLAND CAMPINA;FRUTTIS;GROUP;0.1150/KG;8%;8;FRUTTIS SUP.EXTRA 8% F 115G H MIX GRUSHA;FLAVOURED;FRUITS/BERRIES;UNABLE TO SEGMENT;65,6531;346,7217201;5,281117;34,849817;66,035367;111,2139
MAT APR'19;DANONE GROUP;RASTISHKA;GROUP;0.1100/KG;3%;3;RASTISHKA 3% F 110G H MALIN-BANAN;FLAVOURED;FRUITS/BERRIES;BANANA & RASPBERRY;64,3002;369,2779116;5,743029;64,230222;83,1594;53,1814
MAT APR'19;BABUSHKINA KRYNKA;BABUSHKINA KRYNKA;CUP;0.3100/KG;6%;6;BAB.KRYNKA 6% F 310G ANANAS-MANGO;FLAVOURED;FRUITS/BERRIES;MANGO & PINEAPPLE;57,4548;245,951801;4,280788;25,999945;45,624091;119,5763
MAT APR'19;FRIESLAND CAMPINA;FRUTTIS;GROUP;0.1150/KG;8%;8;FRUTTIS SUP.EXTRA 8% F 115G H MIX VI&PL&;FLAVOURED;FRUITS/BERRIES;UNABLE TO SEGMENT;56,5997;297,4676033;5,255639;31,220133;62,065275;108,7478
MAT APR'19;SAVUSHKIN PRODUCT;OPTIMAL;GROUP;0.1500/KG;2%;2;OPTIMAL 2% Z BIO 150G H CHIA&SEMECHKI;FLAVOURED;CHIA SEEDS & SUNFLOWER SEEDS;CHIA SEEDS & SUNFLOWER SEEDS;56,2689;237,5844626;4,222305;50,669288;79,3314;63,2373
MAT APR'19;FRIESLAND CAMPINA;FRUTTIS;GROUP;0.1150/KG;5%;5;FRUTTIS SLIV.LAK.5% F 115G H MIX KLUBN-;FLAVOURED;FRUITS/BERRIES;UNABLE TO SEGMENT;54,4951;243,9930056;4,477338;27,555983;57,631583;119,2757
MAT APR'19;BABUSHKINA KRYNKA;BABUSHKINA KRYNKA;CUP;0.3100/KG;6%;6;BAB.KRYNKA 6% FZ 310G CHERNOSLIV-ZLAKI;FLAVOURED;CEREALS & FRUITS;CEREALS&DRY PLUM;53,541;227,2258083;4,243959;20,999592;40,173683;124,2863
MAT APR'19;SAVUSHKIN PRODUCT;TEOS;CUP;0.2500/KG;5%;5;TEOS GRECHESKIY 5% 250G SF;PLAIN;WITHOUT ADDITION INGREDIENTS;NOT AVAILABLE;53,0701;283,1451106;5,335304;42,2927;72,90174;73,1729
MAT APR'19;SAVUSHKIN PRODUCT;SAVUSHKIN;CUP;0.3500/KG;2%;2;SAVUSHKIN 2% 350G STRACHATELLA;FLAVOURED;CHOCOLATE;STRACCIATELLA;52,7477;198,8679027;3,770172;41,381733;68,3356;71,2596
MAT APR'19;DANONE GROUP;ACTIVIA;GROUP;0.1500/KG;3%;3;ACTIVIA 3% FU BIO 150G H KIVI&MYUSLI;FLAVOURED;MUESLI & FRUITS;MUESLI & KIWI;52,5858;270,7611752;5,148941;17,632817;38,084408;142,0844
MAT APR'19;DANONE GROUP;DANISSIMO;DUAL CUP;0.1050/KG;6,90%;7;DANIS.FANT.K.S.K-I&SH.SH.6.9%CS2x105G(1F;FLAVOURED;CINNAMON & GINGER & CHOCOLATE (ASSORTED;CINNAMON & GINGER & CHOCOLATE (ASSORTED;50,7114;291,1643821;5,741596;11,79466;28,28082;111,1981
MAT APR'19;DANONE GROUP;PROSTOKVASHINO;CUP;0.3350/KG;2,20%;3;PROSTOKVASHINO 2.2% F 335G VISHNYA;FLAVOURED;FRUITS/BERRIES;CHERRY;48,8899;237,7498144;4,862964;45,1566;56,49758;55,0945
